# COLHEITA — Habib's, tabela nutricional oficial
#
# Fonte: https://www.habibs.com.br/storage/pdf/tb_nutri.pdf
# Colhida em 21/09/2026 por scripts/colher-habibs.mjs, que baixa o PDF e
# lê a tabela. Para atualizar, rode o script de novo.
#
# ⚠️ AQUI O PESO DA PORÇÃO É PUBLICADO, e é o que separa esta colheita da
# do McDonald's: a rede traz a tabela nos dois formatos que a RDC 429
# pede — por 100 g e por porção, com a porção declarada em gramas. Por
# isso estes itens entram no modelo normal do aplicativo, com valor por
# 100 g e peso de verdade, e não com `porUnidade`.
#
# ⚠️ 7 itens foram DESCARTADOS por não passarem na conferência
# cruzada — o valor por 100 g vezes o peso tem de bater com a coluna da
# porção. Quase todos são bebida, que a tabela traz num traçado diferente.
#
# ⚠️ E 8 ficaram de fora por não declararem alérgeno nenhum.
# Sem declaração não dá para distinguir "não tem" de "não disseram", e o
# que não está marcado o aplicativo mostra a quem filtrou. Ver o motivo
# inteiro em scripts/colher-habibs.mjs.
#
# colunas: slug, nome, rede, proteína g/100g, kcal/100g, carboidrato g,
#          gordura g, fibra g, sódio mg, peso da porção de referência g,
#          quantas unidades cabem nessa porção, nome da unidade, alérgenos
#
# ⚠️ AS DUAS ÚLTIMAS COLUNAS NUMÉRICAS SÃO O QUE A TABELA DIZ, sem conta
# nenhuma: "Porção: 100 g (5/28 de unidade)" vira 100 e 0.1786. O peso de
# uma unidade — 560 g — é divisão, e a divisão fica no gerador.
#
sundae-de-pistache-com-calda-de-chocolate	Sundae de Pistache com Calda de Chocolate	habibs	3.3	223	43	4.4	0.7	101	160	1	unidade	Leite+Glúten
sundae-de-pistache-com-calda-de-morango	Sundae de Pistache com Calda de Morango	habibs	3.2	226	44	4.2	0.7	99	160	1	unidade	Leite+Glúten
sundae-soft-morango	Sundae Soft Morango	habibs	2.7	190	32	5.6	0	120	125	1	unidade	Leite+Glúten
twist-baunilha-com-baton	Twist Baunilha com Baton®	habibs	3.7	208	30	8.1	0	79	216	1	unidade	Leite+Glúten
sundae-misto-de-baunilha-e-pistache-com-calda-de	Sundae Misto de Baunilha e Pistache com Calda de Caramelo	habibs	3.2	223	43	4.2	0.6	102	160	1	unidade	Leite+Glúten
sundae-misto-de-baunilha-e-pistache-com-calda-de	Sundae Misto de Baunilha e Pistache com Calda de Chocolate	habibs	3.3	222	42	4.4	0.7	102	160	1	unidade	Leite+Glúten
sundae-fast	Sundae Fast	habibs	2.8	188	31	5.7	0	122	120	1	unidade	Leite+Glúten
sundae-soft-chocolate	Sundae Soft Chocolate	habibs	2.8	188	31	6.2	0	137	125	1	unidade	Leite+Glúten
sundae-misto-de-baunilha-e-pistache-com-calda-de	Sundae Misto de Baunilha e Pistache com Calda de Morango	habibs	3.2	224	43	4.2	0.7	100	160	1	unidade	Leite+Glúten
twist-chocolate-com-m-m	Twist Chocolate com M&M®	habibs	1.5	175	33	4.8	0	139	210	1	unidade	Leite+Glúten
sorvete-velosa-creme	Sorvete Velosa Creme	habibs	3.8	204	24	10	0	59	60	1	bola	Leite+Glúten
sorvete-velosa-doce-de-leite	Sorvete Velosa Doce de Leite	habibs	4.5	231	32	9.3	0	85	60	1	bola	Leite+Glúten
max-fruit-morango	Max-fruit Morango	habibs	1.1	168	34	3.1	0	111	120	1	unidade	Leite+Glúten
farofa-crocante-para-sorvete	Farofa Crocante para Sorvete	habibs	20	515	39	31	5.3	91	5	1	colher de sopa	Leite
sorvete-velosa-chocolate	Sorvete Velosa Chocolate	habibs	4.7	242	30	12	1.9	51	60	1	bola	Leite+Glúten
sorvete-velosa-coco	Sorvete Velosa Coco	habibs	4.2	234	25	13	0.7	63	60	1	bola	Leite+Glúten
sorvete-velosa-cookies-spicy	Sorvete Velosa Cookies Spicy	habibs	4.8	234	27	12	0	76	60	1	bola	Leite+Glúten
sorvete-velosa-fior-di-latte	Sorvete Velosa Fior Di Latte	habibs	4.6	201	25	9.1	0	70	60	1	bola	Leite+Glúten
sorvete-velosa-gianduia	Sorvete Velosa Gianduia	habibs	5.8	276	29	16	1.7	70	60	1	bola	Leite+Glúten
sorvete-velosa-maracuja	Sorvete Velosa Maracujá	habibs	4.4	216	30	8.7	0	68	60	1	bola	Leite+Glúten
sorvete-velosa-morango	Sorvete Velosa Morango	habibs	3.6	186	25	7.9	0	54	60	1	bola	Leite+Glúten
sorvete-velosa-nocciolina	Sorvete Velosa Nocciolina	habibs	4.8	228	28	11	0	79	60	1	bola	Leite+Glúten
